序号,内部标准名,项目说明,详细描述,单位,议价,,
1,舞台,舞台费用（含拆/装费用）高度0.8m,标准舞台钢架，舞台板，舞台高度0.8m,平方米/天,43,,
2,舞台,舞台费用（含拆/装费用）高度1.2m-1.5m,标准舞台钢架，舞台板，舞台高度1.2m-1.5m,平方米/天,45,,
3,truss架,Truss架（含拆/装费用）,标准国产，符合活动需求40MM（也可用50MM或60MM代替)，2天内算1次）,米,112,,
4,雷亚架,雷亚架（含拆/装费用）,国标铝合金管/（二天为一个周期）,米,15,,
5,地毯,地毯（含拆/装费用）,地毯（我司指定颜色，拉绒或小圈绒，厚地毯，7成新及以上，3天内算1次）,平方米/天,17,,
6,调音台,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）数字调音台（含：32路/64路/128路调音台根据需求提供，带USB接口的电脑、话筒架2等）,数字调音台（含：32路/64路/128路调音台根据需求提供，带USB接口的电脑、话筒架2等）,天,650,,
7,无线麦,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）无线唛（森海塞尔115g或同品质品牌，含话筒转换器）,无线唛（森海塞尔115g或同品质品牌，含话筒转换器）,天,55,,
8,胸麦,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）胸唛（森海塞尔115g或同品质品牌）,胸唛（森海塞尔115g或同品质品牌）,天,55,,
9,返听音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质250W舞台反听音箱1对,进口JBL品牌或同品质250W舞台反听音箱1对,天,650,,
10,高音音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质600W高音音响1对,进口JBL品牌或同品质600W高音音响1对,天,870,,
11,低音音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质450W低音音箱1对,进口JBL品牌或同品质450W低音音箱1对,天,650,,
12,婚姻音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）进口JBL品牌或同品质300~500W混音音箱1对,进口JBL品牌或同品质300~500W混音音箱1对,天,1120,,
13,阵列音箱,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）IBO现行振列音响（含16只音响）,IBO现行振列音响（含16只音响）,天,8190,,
14,音响师,音响设备（含音响道具的相关电线、支架等辅助材料及拆装等费用）音响师,音响师,天/人,3.14,,
15,帕灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）帕灯（3W，多种颜色）,帕灯（3W，多种颜色）,天,3.14,,
16,筒灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）筒灯（创展/COCO或同品质品牌）,筒灯（创展/COCO或同品质品牌）,天,3.14,,
17,LED灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）LED灯,LED灯,天,3.14,,
18,光速灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）光束灯（230w）,光束灯（230w）,天,3.14,,
19,面光灯,"灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）面光灯,1000W","面光灯,1000W",天,3.14,,
20,摇头灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）电脑摇头灯(230W）,电脑摇头灯(230W）,天,3.14,,
21,追光灯,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）追光灯（2500W/1200W）,追光灯（2500W/1200W）,天,3.14,,
22,380伏硅箱,灯光（含灯光师、灯光道具市内运输、相关电线、支架等辅助材料及拆装等费用）380伏硅箱,380伏硅箱,天,3.14,,
